"ID";"B_SATS_Gefuehl";"B_SATS_Kompetenz";"B_SATS_Wert";"B_SATS_Schwierigkeit";"B_SATS_Interesse";"B_SATS_Aufwand";"C1_Mathe";"C1_Schule";"C1_Hochschule";"C4_Notenerwartung";"D_BFI_E";"D_BFI_N";"D_BFI_O";"D_BFI_G";"D_BFI_V";"E_Action";"E_FantasySciFi";"E_Drama";"E_Horror";"E_Thriller";"E_Komoedie";"E_Liebe";"E_Erotik";"E_Animation";"E_Dokumentation";"F01_Pullover";"F02_Schuhe1";"F03_Schuhe2";"F04_Schuhe3";"F05_Zinsen";"F06_Preise";"F07_Aktien";"F08_Putzen";"F09_Kino";"F10_Tischtennis";"F11_Linda";"G01_Geschlecht";"G02_Alter";"G04_Studium";"G05_Zugangsberechtigung"
183;2,8;3,2;4;3,1;3,5;6,2;4;5;5;3;2,5;3,5;2,5;3;2,5;"Nein";"Ja";"Nein";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";25;NA;"Fachhochschulreife"
1543;4,3;4,5;5,1;3,4;5,5;6,2;5;5;5;2,3;2,5;3;3,5;3,5;2;"Ja";"Ja";"Ja";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Weniger.";"Stimme eher nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Nein";"10 Cent.";"Linda ist Bankangestellte.";"weiblich";21;"Nein";"allgemeine Hochschulreife / Abitur"
421;4;6;5,9;4;5,5;4,8;7;7;6;1,3;3;3;3;3;4;"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Es werden mehr Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Ja";NA;"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 30 Euro. Dies entspricht der Summe, die ich für die Haushaltshilfe bezahlen muesste.";NA;"1 Euro.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";35;"Ja, beide";"allgemeine Hochschulreife / Abitur"
1400;4,8;4,8;4,7;3;5;7;6;5;6;1,3;3,5;2,5;2;3;2;"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Ja";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";31;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
474;3;5,3;5,1;3,4;4;5,2;6;6;6;2,7;4,5;2;NA;2,5;2;"Ja";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Weiss nicht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Mehr.";"Weiss nicht.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";27;"Ja, ein Elternteil";"Fachhochschulreife"
1478;3,7;5,3;4,6;3;3,2;5,8;6;5;5;1,7;3;3;2,5;4;2,5;"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";23;"Nein";"Fachhochschulreife"
438;3,2;4,8;5;2,3;6,2;6;4;5;6;3,3;3;2,5;4,5;3;2,5;"Ja";"Ja";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 30 Euro. Dies entspricht der Summe, die ich für die Haushaltshilfe bezahlen muesste.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"maennlich";26;"Nein";"allgemeine Hochschulreife / Abitur"
203;3,8;5;3,8;3,6;4,8;6;5;5;5;2;2,5;3;3,5;4;3,5;"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Nein";"Hoeher als 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";24;"Nein";"Fachhochschulreife"
1419;2,8;3;3,7;2,6;4,8;6;5;5;6;3;2,5;4,5;3;3,5;4;"Ja";"Nein";"Ja";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Nein";"Genau 105 Euro.";"Genauso viel.";NA;"Es entstehen keine Kosten, da ich selbst putze.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";26;"Ja, ein Elternteil";NA
281;2,7;3,2;5,1;2,8;5,2;6;3;3;3;3;1,5;3,5;1;4;3;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Weiss nicht.";"Es entstehen keine Kosten, da ich selbst putze.";"Nein";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";24;"Nein";"allgemeine Hochschulreife / Abitur"
194;5,2;5,7;5,2;3,9;5,8;7;3;6;6;1,7;3,5;3;5;4,5;4;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";NA;"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";NA;"10 Cent.";NA;"weiblich";21;"Nein";"allgemeine Hochschulreife / Abitur"
292;5;5,2;5,4;4;4,8;5;4;3;6;1,7;3;1,5;2,5;2,5;2;"Ja";"Ja";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Weiss nicht.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";NA;"maennlich";24;"Nein";"allgemeine Hochschulreife / Abitur"
158;5,2;5,5;3,7;3,3;6,2;7;1;7;5;2;1,5;3;3,5;3;4;"Ja";"Ja";"Nein";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden genauso viele Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Weiss nicht.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";27;"Nein";"Fachhochschulreife"
1466;3,5;4,8;5,3;2,3;4,8;6,2;5;5;6;2;3;1,5;5;3,5;2,5;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";26;"Nein";"allgemeine Hochschulreife / Abitur"
366;3,8;4,5;4,7;3,3;5,5;5,8;5;4;5;2,7;3;3;4;5;3;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher zu.";NA;"Nein";"10 Cent.";"Linda ist Bankangestellte.";"maennlich";26;"Nein";"Fachhochschulreife"
1561;6,2;6,6;3,6;3;4,2;6,2;6;6;6;2,3;3;1,5;4,5;4,5;2;"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";NA;"maennlich";31;"Nein";"Fachhochschulreife"
1558;4,2;4,3;4,2;2,8;5,2;6,7;6;4;5;2,7;2,5;4,5;2;3,5;3;"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";NA;"Genauso viel.";"Stimme ganz und gar nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Nein";"10 Cent.";"Linda ist Bankangestellte.";"weiblich";22;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
452;5,3;6,7;5,5;3,4;5,2;5,5;6;6;6;1,3;3,5;4,5;2;4;1,5;"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 30 Euro. Dies entspricht der Summe, die ich für die Haushaltshilfe bezahlen muesste.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";23;"Nein";"allgemeine Hochschulreife / Abitur"
330;4,2;5,5;4,3;3;5,8;6,2;4;5;6;2;3,5;4;2;5;2,5;"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";"Linda ist Bankangestellte.";"weiblich";21;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
1399;7;7;6,8;4,7;6,8;7;6;6;6;1,7;3;2;2,5;3;3;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";NA;"Hoeher als 105 Euro.";"Weniger.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";35;"Nein";"allgemeine Hochschulreife / Abitur"
262;3,3;4,2;3,9;2;5,8;5,5;7;6;7;2,3;2,5;3;2;5;1,5;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Hoeher als 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";24;"Nein";"allgemeine Hochschulreife / Abitur"
222;3,2;3,7;5,2;2;6;7;1;4;6;2;4,5;3;3,5;3,5;2,5;"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";22;"Nein";"allgemeine Hochschulreife / Abitur"
619;5;5,7;5;4,4;4,5;7;5;7;6;2,3;4,5;2,5;5;5;3,5;"Nein";"Ja";"Ja";"Ja";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme voll und ganz zu.";"Meine Kosten betragen 20 Euro.";NA;"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";21;"Nein";"allgemeine Hochschulreife / Abitur"
1526;4,3;4,4;4,6;3,7;4,8;3,8;6;6;1;3,3;4,5;3,5;3,5;5;4;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";31;"Nein";"fachgebundene Hochschulreife"
587;1,5;2,3;3,6;1,6;3,8;6;4;4;4;4;3,5;5;1;3,5;3,5;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Genau 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 30 Euro. Dies entspricht der Summe, die ich für die Haushaltshilfe bezahlen muesste.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";24;"Nein";"allgemeine Hochschulreife / Abitur"
575;2,3;1,8;3,9;1,8;5,2;6,5;2;6;5;3;4,5;3,5;5;3;3;"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Ja";"Ja";"Es werden genauso viele Pullover verkauft.";"Weiss nicht.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";28;"Nein";"Fachhochschulreife"
241;5,8;6;6,2;3;7;6;7;6;7;2;4,5;2;3,5;4;1,5;"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"maennlich";28;"Nein";"Fachhochschulreife"
449;3;4,2;4,7;2,4;3,8;7;4;6;5;3,3;3;4;2;4;3;"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";22;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
257;3,3;4;4;2,3;3,8;6,5;5;6;5;2;5;3,5;3,5;3,5;4;"Nein";"Nein";"Ja";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher zu.";"Meine Kosten betragen 20 Euro.";"Nein";"Kann ich anhand der gegebenen Information nicht sagen.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";22;"Nein";"allgemeine Hochschulreife / Abitur"
552;3,5;3,3;3,8;2,1;5,5;7;5;6;6;2,3;5;3,5;3;5;4;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Ja";"Kann ich anhand der gegebenen Information nicht sagen.";"Linda ist Bankangestellte.";"weiblich";20;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
168;3,5;3,7;4,1;3,3;5,2;5,8;1;5;5;3,3;4;3,5;4,5;3,5;3,5;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";NA;"weiblich";22;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
448;4,5;4,5;5;4,3;5,2;6;6;5;7;1;2;3;2,5;4;4;"Ja";"Nein";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";NA;"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"maennlich";25;"Nein";"allgemeine Hochschulreife / Abitur"
442;5,3;5,2;4,8;3,4;5,2;6,8;4;6;6;2,3;3;2;2;5;3,5;"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Mehr.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";22;"Nein";"allgemeine Hochschulreife / Abitur"
162;3;3,2;3,8;3,1;5;4,8;4;5;5;2,3;3,5;3;4;3;2;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";NA;NA;"Stimme eher zu.";"Es entstehen keine Kosten, da ich selbst putze.";NA;"10 Cent.";NA;"maennlich";29;"Ja, beide";"allgemeine Hochschulreife / Abitur"
1496;4,2;5,3;6;3;5,8;6,5;5;4;6;2;3;3;2,5;3;3,5;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden genauso viele Pullover verkauft.";NA;"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";NA;NA;"maennlich";25;"Nein";"allgemeine Hochschulreife / Abitur"
1554;5,2;5,3;5,6;2,1;6,2;7;6;6;6;2;4,5;3;3,5;4,5;3,5;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Ja";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Ja";"5 Cent.";NA;"maennlich";23;"Nein";"fachgebundene Hochschulreife"
1402;3,8;4,8;2,3;2,9;3,5;6,2;5;4;4;2,7;2,5;5;4;3;1,5;"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";NA;"weiblich";23;"Nein";"allgemeine Hochschulreife / Abitur"
